user,time,daily_usd_volume,cumulative_usd_volume,trade_count,liquidation_notional
0x2beb91c23ae04dc865854b5f6037f0b6eb3a0428,2025-01-04,62462902.17044164,1195883824.0796297,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-05-24,41751599.49873379,41751599.49873379,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-05-25,13096169.029775826,54847768.52850962,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-05-26,13470608.942163585,68318377.4706732,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-05-30,35033413.38489485,103351790.85556805,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-05-31,31651600.087536816,135003390.94310486,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-06,29597709.413072318,164601100.35617718,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-07,39212057.45107811,203813157.8072553,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-11,44863586.03370417,248676743.84095946,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-12,105853950.21815994,354530694.0591194,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-13,34157672.585673265,388688366.6447927,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-14,58793631.5822038,447481998.2269965,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-15,17677990.402979117,465159988.62997556,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-16,23600785.419873882,488760774.04984945,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-17,71444764.33489023,560205538.3847396,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-19,39934632.37416928,600140170.758909,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-20,44662616.51074042,644802787.2696494,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-21,31114410.23829331,675917197.5079427,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-24,66358770.692066476,742275968.2000092,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-25,29421558.428753447,771697526.6287626,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-26,30296483.878113575,801994010.5068762,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-27,53736965.10838306,855730975.6152593,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-06-28,45443432.60762304,901174408.2228823,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-07-01,32435708.804083057,933610117.0269654,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-07-03,41277423.940944515,974887540.9679098,,
0x3214732d9d6eddcb9e90da362d7c45d5caddbe7e,2024-07-04,55182073.91569638,1030069614.8836062,,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-05-18,10157837.112973329,10157837.112973329,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-05-20,61725974.78722238,71883811.9001957,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-05-21,38007164.62225069,109890976.5224464,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-05-22,30102279.951830685,139993256.47427708,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-05-23,60530930.978623815,200524187.4529009,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-05-29,21428052.102333326,221952239.55523422,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-06-07,48146994.04787783,270099233.60311204,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-06-14,45191826.51555052,315291060.1186626,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-06-17,53615762.27271992,368906822.3913825,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-06-23,22938760.59576474,391845582.9871472,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-03,41314463.183634534,433160046.1707818,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-05,68178625.5438882,501338671.71466994,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-12,23185855.552805535,524524527.2674755,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-21,34056668.8909204,558581196.1583959,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-22,30249527.82633023,588830723.9847262,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-23,51093648.190046914,639924372.1747731,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-24,37836338.55448123,677760710.7292542,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-25,47295862.71747078,725056573.446725,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-27,45301850.12613382,770358423.5728589,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-28,13380637.224733757,783739060.7975926,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-07-31,32088635.294979446,815827696.0925721,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-08-04,33189261.246463846,849016957.339036,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-08-05,255109618.66356084,1104126576.0025969,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-08-13,34294698.4976626,1138421274.5002594,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-08-14,40738345.58638621,1179159620.0866456,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-08-15,48477543.314029604,1227637163.4006753,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-08-16,29632742.68585649,1257269906.0865316,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-08-20,26140134.78982476,1283410040.8763564,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-08-24,28513841.788028352,1311923882.6643848,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-10-15,47369218.54412571,1359293101.2085104,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-07,51042686.18102472,1410335787.3895352,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-10,68390800.91175658,1478726588.3012917,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-11,104924286.55291799,1583650874.85421,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-12,174709177.18128794,1758360052.0354977,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-13,212182484.71011224,1970542536.74561,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-14,105633419.72082081,2076175956.4664307,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-15,68148496.44113173,2144324452.9075625,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-16,49110260.6824011,2193434713.5899634,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-17,67376308.27099618,2260811021.86096,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-23,76620833.48711625,2337431855.348076,37177509.0,
